eje_x,eje_y,eje_z,timestamp
1097819.0,907677.0,0.0,1681201272099
1097433.0,907211.0,0.0,1681201272147
1097281.0,906719.0,0.0,1681201272195
1096467.0,906279.0,0.0,1681201272244
1097047.0,905585.0,0.0,1681201272292
1097555.0,906043.0,0.0,1681201272340
1097667.0,905887.0,0.0,1681201272388
1097381.0,905175.0,0.0,1681201272437
1096741.0,905257.0,0.0,1681201272485
1095999.0,904125.0,0.0,1681201272533
1094227.0,903129.0,0.0,1681201272581
1093821.0,902015.0,0.0,1681201272630
1093077.0,901623.0,0.0,1681201272678
1093067.0,901495.0,0.0,1681201272726
1093545.0,902499.0,0.0,1681201272774
1094777.0,904005.0,0.0,1681201272823
1098399.0,906463.0,0.0,1681201272871
1103029.0,910481.0,0.0,1681201272919
1107885.0,914791.0,0.0,1681201272968
1113125.0,919541.0,0.0,1681201273016
1116361.0,923779.0,0.0,1681201273065
1118477.0,925633.0,0.0,1681201273113
1119893.0,927103.0,0.0,1681201273161
1120259.0,927313.0,0.0,1681201273209
1120239.0,926855.0,0.0,1681201273258
1119659.0,926207.0,0.0,1681201273306
1118823.0,925139.0,0.0,1681201273354
1118539.0,924563.0,0.0,1681201273402
1118681.0,925231.0,0.0,1681201273451
1119313.0,925779.0,0.0,1681201273499
1120177.0,926965.0,0.0,1681201273547
1121877.0,927303.0,0.0,1681201273595
1123219.0,929003.0,0.0,1681201273644
1125653.0,930855.0,0.0,1681201273692
1127025.0,932253.0,0.0,1681201273741
1128197.0,933605.0,0.0,1681201273789
1130283.0,935951.0,0.0,1681201273837
1132277.0,937869.0,0.0,1681201273885
1134953.0,939933.0,0.0,1681201273934
1135809.0,940417.0,0.0,1681201273982
1136755.0,940811.0,0.0,1681201274030
1135797.0,940637.0,0.0,1681201274078
1136501.0,940437.0,0.0,1681201274126
1136043.0,940373.0,0.0,1681201274175
1137315.0,940847.0,0.0,1681201274223
1137803.0,941349.0,0.0,1681201274271
1137925.0,941331.0,0.0,1681201274319
1139115.0,942017.0,0.0,1681201274367
1139909.0,942939.0,0.0,1681201274416
1140011.0,944509.0,0.0,1681201274464
1141935.0,945733.0,0.0,1681201274512
1142871.0,946783.0,0.0,1681201274560
1144133.0,947953.0,0.0,1681201274610
1144855.0,948235.0,0.0,1681201274658
1145139.0,947979.0,0.0,1681201274706
1144285.0,947971.0,0.0,1681201274754
1143409.0,946673.0,0.0,1681201274802
1141823.0,944755.0,0.0,1681201274850
1141109.0,944565.0,0.0,1681201274899
1140621.0,945239.0,0.0,1681201274947
1140479.0,945221.0,0.0,1681201274995
1142545.0,945925.0,0.0,1681201275043
1143767.0,946519.0,0.0,1681201275091
1143827.0,947103.0,0.0,1681201275140
1144915.0,948217.0,0.0,1681201275188
1145923.0,948985.0,0.0,1681201275236
1146513.0,949203.0,0.0,1681201275284
1149037.0,950583.0,0.0,1681201275332
1150117.0,951487.0,0.0,1681201275381
1147247.0,950819.0,0.0,1681201275429
1143501.0,947687.0,0.0,1681201275477
1141415.0,944153.0,0.0,1681201275525
1140417.0,942207.0,0.0,1681201275573
1138699.0,940591.0,0.0,1681201275622
1137885.0,940043.0,0.0,1681201275670
1136927.0,939605.0,0.0,1681201275718
1137253.0,939377.0,0.0,1681201275766
1135737.0,938811.0,0.0,1681201275814
1134251.0,938099.0,0.0,1681201275863
1134281.0,937569.0,0.0,1681201275912
1134771.0,938135.0,0.0,1681201275960
1135279.0,938189.0,0.0,1681201276008
1136643.0,939003.0,0.0,1681201276056
1137671.0,939861.0,0.0,1681201276104
1138321.0,940007.0,0.0,1681201276153
1136235.0,938053.0,0.0,1681201276201
1134455.0,936125.0,0.0,1681201276249
1133163.0,934015.0,0.0,1681201276297
1131493.0,932117.0,0.0,1681201276345
1129865.0,931441.0,0.0,1681201276394
1129021.0,930819.0,0.0,1681201276442
1128197.0,930345.0,0.0,1681201276490
1127137.0,930071.0,0.0,1681201276538
1126455.0,928783.0,0.0,1681201276587
1126191.0,927833.0,0.0,1681201276635
1125469.0,927751.0,0.0,1681201276683
1125031.0,926929.0,0.0,1681201276731
1124391.0,926683.0,0.0,1681201276779
1124491.0,926747.0,0.0,1681201276828
1123871.0,925979.0,0.0,1681201276876
1122751.0,923523.0,0.0,1681201276924
1121063.0,921413.0,0.0,1681201276972
1119301.0,919915.0,0.0,1681201277021
1118803.0,919961.0,0.0,1681201277069
1120055.0,921011.0,0.0,1681201277118
1121723.0,922645.0,0.0,1681201277166
1124115.0,925167.0,0.0,1681201277214
1126731.0,927989.0,0.0,1681201277262
1128521.0,930819.0,0.0,1681201277311
1130791.0,932691.0,0.0,1681201277359
1133071.0,934555.0,0.0,1681201277407
1137263.0,937705.0,0.0,1681201277455
1140031.0,940163.0,0.0,1681201277503
1142555.0,942545.0,0.0,1681201277552
1145017.0,943085.0,0.0,1681201277600
1146473.0,943615.0,0.0,1681201277648
1146259.0,944153.0,0.0,1681201277697
1146545.0,944363.0,0.0,1681201277745
1147013.0,945431.0,0.0,1681201277793
1148091.0,946071.0,0.0,1681201277841
1148387.0,947587.0,0.0,1681201277890
1148071.0,948089.0,0.0,1681201277938
1148477.0,949039.0,0.0,1681201277986
1149027.0,949725.0,0.0,1681201278034
1150585.0,950793.0,0.0,1681201278082
1152293.0,951359.0,0.0,1681201278130
1153383.0,952427.0,0.0,1681201278178
1153565.0,952419.0,0.0,1681201278226
1151907.0,951213.0,0.0,1681201278275
1149445.0,948125.0,0.0,1681201278323
1146769.0,945175.0,0.0,1681201278371
1143969.0,942965.0,0.0,1681201278419
1142281.0,941011.0,0.0,1681201278468
1141233.0,941103.0,0.0,1681201278516
1140561.0,941103.0,0.0,1681201278564
1141019.0,940755.0,0.0,1681201278612
1141181.0,941961.0,0.0,1681201278661
1139299.0,942437.0,0.0,1681201278709
1137711.0,940957.0,0.0,1681201278757
1136887.0,940373.0,0.0,1681201278805
1137039.0,940107.0,0.0,1681201278853
1138423.0,940035.0,0.0,1681201278902
1139339.0,940993.0,0.0,1681201278950
1136989.0,940189.0,0.0,1681201278999
1134659.0,937761.0,0.0,1681201279047
1131555.0,935185.0,0.0,1681201279095
1128777.0,932399.0,0.0,1681201279143
1126435.0,930883.0,0.0,1681201279191
1125183.0,930381.0,0.0,1681201279240
1124705.0,930619.0,0.0,1681201279288
1123577.0,930645.0,0.0,1681201279336
1122091.0,929887.0,0.0,1681201279384
1121551.0,929129.0,0.0,1681201279432
1121907.0,929321.0,0.0,1681201279481
1122955.0,929331.0,0.0,1681201279529
1123067.0,929879.0,0.0,1681201279577
1122761.0,929523.0,0.0,1681201279626
1122141.0,929669.0,0.0,1681201279674
1121001.0,928289.0,0.0,1681201279722
1117593.0,925485.0,0.0,1681201279770
1114743.0,923111.0,0.0,1681201279818
1112097.0,921093.0,0.0,1681201279867
1109991.0,919331.0,0.0,1681201279914
1108769.0,918663.0,0.0,1681201279962
1109491.0,919431.0,0.0,1681201280012
1109247.0,919357.0,0.0,1681201280060
1108597.0,919093.0,0.0,1681201280108
1109411.0,919823.0,0.0,1681201280156
1109441.0,920307.0,0.0,1681201280204
1109807.0,920591.0,0.0,1681201280253
1110031.0,921295.0,0.0,1681201280301
1109685.0,921175.0,0.0,1681201280349
1109625.0,921231.0,0.0,1681201280397
1108565.0,920097.0,0.0,1681201280446
1106031.0,917715.0,0.0,1681201280494
1102715.0,914965.0,0.0,1681201280542
1100049.0,912655.0,0.0,1681201280590
1096935.0,910965.0,0.0,1681201280638
1096355.0,910599.0,0.0,1681201280687
1096455.0,910937.0,0.0,1681201280735
1095621.0,910545.0,0.0,1681201280783
1095743.0,910937.0,0.0,1681201280831
1097493.0,912637.0,0.0,1681201280880
1098867.0,914435.0,0.0,1681201280928
1101311.0,916399.0,0.0,1681201280976
1104179.0,919021.0,0.0,1681201281024
1106693.0,921997.0,0.0,1681201281073
